#Top: ios   Floorplan: io_1   Part: xc7k70tfbv676-2
#Generated by: dpeascoe   on: Fri Feb 20 10:06:56 2015
#Build: Vivado v2015.1   by: xbuild   on: Tue Feb 17 11:45:11 MST 2015

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 135 unassigned signals in this design. The last 135 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,Pull Type,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
16,A13,IOB_X0Y152,IO_L24P_T3_16,126.107,127.375,,,,,,,,,,,,,,,,,,,
16,A12,IOB_X0Y151,IO_L24N_T3_16,132.464,133.796,,,,,,,,,,,,,,,,,,,
16,J14,IOB_X0Y150,IO_25_16,50.486,50.993,,,,,,,,,,,,,,,,,,,
16,A11,,VCCO_16,,,,,,,,,,,,,,,,,,,,VCCO_16,
16,B8,,VCCO_16,,,,,,,,,,,,,,,,,,,,VCCO_16,
16,C15,,VCCO_16,,,,,,,,,,,,,,,,,,,,VCCO_16,
16,D12,,VCCO_16,,,,,,,,,,,,,,,,,,,,VCCO_16,
16,E9,,VCCO_16,,,,,,,,,,,,,,,,,,,,VCCO_16,
16,G13,,VCCO_16,,,,,,,,,,,,,,,,,,,,VCCO_16,
16,H10,,VCCO_16,,,,,,,,,,,,,,,,,,,,VCCO_16,
32,AB18,,VCCO_32,,,,,,,,,,,,,,,,,,,,VCCO_32,
32,AC15,,VCCO_32,,,,,,,,,,,,,,,,,,,,VCCO_32,
32,AE19,,VCCO_32,,,,,,,,,,,,,,,,,,,,VCCO_32,
32,AF16,,VCCO_32,,,,,,,,,,,,,,,,,,,,VCCO_32,
32,W17,,VCCO_32,,,,,,,,,,,,,,,,,,,,VCCO_32,
32,Y14,,VCCO_32,,,,,,,,,,,,,,,,,,,,VCCO_32,
33,U9,IOB_X1Y49,IO_0_VRN_33,54.923,55.475,,,,,,,,,,,,,,,,,,,
33,V11,IOB_X1Y48,IO_L1P_T0_33,65.711,66.371,,,,,,,,,,,,,,,,,,,
33,W11,IOB_X1Y47,IO_L1N_T0_33,68.369,69.057,,,,,,,,,,,,,,,,,,,
33,V8,IOB_X1Y46,IO_L2P_T0_33,61.251,61.866,,,,,,,,,,,,,,,,,,,
33,V7,IOB_X1Y45,IO_L2N_T0_33,71.865,72.587,,,,,,,,,,,,,,,,,,,
33,W10,IOB_X1Y44,IO_L3P_T0_DQS_33,62.707,63.338,,,,,,,,,,,,,,,,,,,
33,W9,IOB_X1Y43,IO_L3N_T0_DQS_33,65.394,66.052,,,,,,,,,,,,,,,,,,,
33,Y8,IOB_X1Y42,IO_L4P_T0_33,70.975,71.688,,,,,,,,,,,,,,,,,,,
33,Y7,IOB_X1Y41,IO_L4N_T0_33,83.251,84.088,,,,,,,,,,,,,,,,,,,
33,Y11,IOB_X1Y40,IO_L5P_T0_33,72.024,72.748,,,,,,,,,,,,,,,,,,,
33,Y10,IOB_X1Y39,IO_L5N_T0_33,66.650,67.320,,,,,,,,,,,,,,,,,,,
33,V9,IOB_X1Y38,IO_L6P_T0_33,57.902,58.484,,,,,,,,,,,,,,,,,,,
33,W8,IOB_X1Y37,IO_L6N_T0_VREF_33,69.979,70.683,,true,,,,,,,,,,,,,,,,,
33,AE7,IOB_X1Y36,IO_L7P_T1_33,112.334,113.462,,,,,,,,,,,,,,,,,,,
33,AF7,IOB_X1Y35,IO_L7N_T1_33,116.234,117.402,,,,,,,,,,,,,,,,,,,
33,AA8,IOB_X1Y34,IO_L8P_T1_33,78.315,79.102,,,,,,,,,,,,,,,,,,,
33,AA7,IOB_X1Y33,IO_L8N_T1_33,91.667,92.588,,,,,,,,,,,,,,,,,,,
33,AC8,IOB_X1Y32,IO_L9P_T1_DQS_33,93.141,94.077,,,,,,,,,,,,,,,,,,,
33,AD8,IOB_X1Y31,IO_L9N_T1_DQS_33,96.570,97.541,,,,,,,,,,,,,,,,,,,
33,AB7,IOB_X1Y30,IO_L10P_T1_33,86.567,87.437,,,,,,,,,,,,,,,,,,,
33,AC7,IOB_X1Y29,IO_L10N_T1_33,95.366,96.324,,,,,,,,,,,,,,,,,,,
33,AA9,IOB_X1Y28,IO_L11P_T1_SRCC_33,73.830,74.572,,,,,,,,,,,,,,,,,,,
33,AB9,IOB_X1Y27,IO_L11N_T1_SRCC_33,77.492,78.271,,,,,,,,,,,,,,,,,,,
33,AC9,IOB_X1Y26,IO_L12P_T1_MRCC_33,86.811,87.683,,,,,,,,,,,,,,,,,,,
33,AD9,IOB_X1Y25,IO_L12N_T1_MRCC_33,90.771,91.684,,,,,,,,,,,,,,,,,,,
33,AB11,IOB_X1Y24,IO_L13P_T2_MRCC_33,85.315,86.172,,,,,,,,,,,,,,,,,,,
33,AC11,IOB_X1Y23,IO_L13N_T2_MRCC_33,84.107,84.952,,,,,,,,,,,,,,,,,,,
33,AA10,IOB_X1Y22,IO_L14P_T2_SRCC_33,67.126,67.801,,,,,,,,,,,,,,,,,,,
33,AB10,IOB_X1Y21,IO_L14N_T2_SRCC_33,71.978,72.701,,,,,,,,,,,,,,,,,,,
33,AB12,IOB_X1Y20,IO_L15P_T2_DQS_33,84.913,85.767,,,,,,,,,,,,,,,,,,,
33,AC12,IOB_X1Y19,IO_L15N_T2_DQS_33,80.718,81.530,,,,,,,,,,,,,,,,,,,
33,AA13,IOB_X1Y18,IO_L16P_T2_33,82.892,83.725,,,,,,,,,,,,,,,,,,,
33,AA12,IOB_X1Y17,IO_L16N_T2_33,67.333,68.010,,,,,,,,,,,,,,,,,,,
33,AC13,IOB_X1Y16,IO_L17P_T2_33,90.535,91.445,,,,,,,,,,,,,,,,,,,
33,AD13,IOB_X1Y15,IO_L17N_T2_33,88.000,88.885,,,,,,,,,,,,,,,,,,,
33,Y13,IOB_X1Y14,IO_L18P_T2_33,54.863,55.414,,,,,,,,,,,,,,,,,,,
33,Y12,IOB_X1Y13,IO_L18N_T2_33,52.949,53.481,,,,,,,,,,,,,,,,,,,
33,AD11,IOB_X1Y12,IO_L19P_T3_33,94.619,95.570,,,,,,,,,,,,,,,,,,,
33,AE11,IOB_X1Y11,IO_L19N_T3_VREF_33,93.847,94.790,,true,,,,,,,,,,,,,,,,,
33,AD10,IOB_X1Y10,IO_L20P_T3_33,86.139,87.005,,,,,,,,,,,,,,,,,,,
33,AE10,IOB_X1Y9,IO_L20N_T3_33,88.014,88.899,,,,,,,,,,,,,,,,,,,
33,AE12,IOB_X1Y8,IO_L21P_T3_DQS_33,96.250,97.217,,,,,,,,,,,,,,,,,,,
33,AF12,IOB_X1Y7,IO_L21N_T3_DQS_33,95.235,96.193,,,,,,,,,,,,,,,,,,,
33,AE8,IOB_X1Y6,IO_L22P_T3_33,110.684,111.796,,,,,,,,,,,,,,,,,,,
33,AF8,IOB_X1Y5,IO_L22N_T3_33,110.106,111.212,,,,,,,,,,,,,,,,,,,
33,AE13,IOB_X1Y4,IO_L23P_T3_33,94.829,95.782,,,,,,,,,,,,,,,,,,,
33,AF13,IOB_X1Y3,IO_L23N_T3_33,94.176,95.122,,,,,,,,,,,,,,,,,,,
33,AF10,IOB_X1Y2,IO_L24P_T3_33,101.335,102.353,,,,,,,,,,,,,,,,,,,
33,AF9,IOB_X1Y1,IO_L24N_T3_33,103.214,104.252,,,,,,,,,,,,,,,,,,,
33,V12,IOB_X1Y0,IO_25_VRP_33,72.953,73.686,,,,,,,,,,,,,,,,,,,
33,AA11,,VCCO_33,,,,,,,,,,,,,,,,,,,,VCCO_33,0.00-1.80
33,AB8,,VCCO_33,,,,,,,,,,,,,,,,,,,,VCCO_33,0.00-1.80
33,AD12,,VCCO_33,,,,,,,,,,,,,,,,,,,,VCCO_33,0.00-1.80
33,AE9,,VCCO_33,,,,,,,,,,,,,,,,,,,,VCCO_33,0.00-1.80
33,V10,,VCCO_33,,,,,,,,,,,,,,,,,,,,VCCO_33,0.00-1.80
33,W7,,VCCO_33,,,,,,,,,,,,,,,,,,,,VCCO_33,0.00-1.80
34,U4,IOB_X1Y99,IO_0_VRN_34,100.644,101.656,,,,,,,,,,,,,,,,,,,
34,U6,IOB_X1Y98,IO_L1P_T0_34,87.966,88.850,,,,,,,,,,,,,,,,,,,
34,U5,IOB_X1Y97,IO_L1N_T0_34,88.473,89.362,,,,,,,,,,,,,,,,,,,
34,U2,IOB_X1Y96,IO_L2P_T0_34,111.679,112.801,,,,,,,,,,,,,,,,,,,
34,U1,IOB_X1Y95,IO_L2N_T0_34,122.471,123.701,,,,,,,,,,,,,,,,,,,
34,W6,IOB_X1Y94,IO_L3P_T0_DQS_34,114.871,116.025,,,,,,,,,,,,,,,,,,,
34,W5,IOB_X1Y93,IO_L3N_T0_DQS_34,112.003,113.129,,,,,,,,,,,,,,,,,,,
34,V3,IOB_X1Y92,IO_L4P_T0_34,103.137,104.173,,,,,,,,,,,,,,,,,,,
34,W3,IOB_X1Y91,IO_L4N_T0_34,113.591,114.733,,,,,,,,,,,,,,,,,,,
34,U7,IOB_X1Y90,IO_L5P_T0_34,90.991,91.906,,,,,,,,,,,,,,,,,,,
34,V6,IOB_X1Y89,IO_L5N_T0_34,92.574,93.504,,,,,,,,,,,,,,,,,,,
34,V4,IOB_X1Y88,IO_L6P_T0_34,94.795,95.747,,,,,,,,,,,,,,,,,,,
34,W4,IOB_X1Y87,IO_L6N_T0_VREF_34,108.117,109.203,,true,,,,,,,,,,,,,,,,,
34,Y3,IOB_X1Y86,IO_L7P_T1_34,123.599,124.841,,,,,,,,,,,,,,,,,,,
34,Y2,IOB_X1Y85,IO_L7N_T1_34,129.917,131.223,,,,,,,,,,,,,,,,,,,
34,V2,IOB_X1Y84,IO_L8P_T1_34,114.101,115.247,,,,,,,,,,,,,,,,,,,
34,V1,IOB_X1Y83,IO_L8N_T1_34,124.765,126.019,,,,,,,,,,,,,,,,,,,
34,AB1,IOB_X1Y82,IO_L9P_T1_DQS_34,143.410,144.852,,,,,,,,,,,,,,,,,,,
34,AC1,IOB_X1Y81,IO_L9N_T1_DQS_34,144.750,146.204,,,,,,,,,,,,,,,,,,,
34,W1,IOB_X1Y80,IO_L10P_T1_34,127.170,128.448,,,,,,,,,,,,,,,,,,,
34,Y1,IOB_X1Y79,IO_L10N_T1_34,133.672,135.016,,,,,,,,,,,,,,,,,,,
34,AB2,IOB_X1Y78,IO_L11P_T1_SRCC_34,132.859,134.195,,,,,,,,,,,,,,,,,,,
34,AC2,IOB_X1Y77,IO_L11N_T1_SRCC_34,136.003,137.369,,,,,,,,,,,,,,,,,,,
34,AA3,IOB_X1Y76,IO_L12P_T1_MRCC_34,121.002,122.218,,,,,,,,,,,,,,,,,,,
34,AA2,IOB_X1Y75,IO_L12N_T1_MRCC_34,123.656,124.898,,,,,,,,,,,,,,,,,,,
34,AA4,IOB_X1Y74,IO_L13P_T2_MRCC_34,117.746,118.930,,,,,,,,,,,,,,,,,,,
34,AB4,IOB_X1Y73,IO_L13N_T2_MRCC_34,115.002,116.158,,,,,,,,,,,,,,,,,,,
34,AC4,IOB_X1Y72,IO_L14P_T2_SRCC_34,126.829,128.103,,,,,,,,,,,,,,,,,,,
34,AC3,IOB_X1Y71,IO_L14N_T2_SRCC_34,130.083,131.391,,,,,,,,,,,,,,,,,,,
34,AA5,IOB_X1Y70,IO_L15P_T2_DQS_34,112.427,113.557,,,,,,,,,,,,,,,,,,,
34,AB5,IOB_X1Y69,IO_L15N_T2_DQS_34,109.991,111.097,,,,,,,,,,,,,,,,,,,
34,AB6,IOB_X1Y68,IO_L16P_T2_34,117.070,118.246,,,,,,,,,,,,,,,,,,,
34,AC6,IOB_X1Y67,IO_L16N_T2_34,118.071,119.257,,,,,,,,,,,,,,,,,,,
34,Y6,IOB_X1Y66,IO_L17P_T2_34,101.221,102.239,,,,,,,,,,,,,,,,,,,
34,Y5,IOB_X1Y65,IO_L17N_T2_34,96.842,97.815,,,,,,,,,,,,,,,,,,,
34,AD6,IOB_X1Y64,IO_L18P_T2_34,122.437,123.667,,,,,,,,,,,,,,,,,,,
34,AD5,IOB_X1Y63,IO_L18N_T2_34,122.247,123.475,,,,,,,,,,,,,,,,,,,
34,AD4,IOB_X1Y62,IO_L19P_T3_34,134.688,136.042,,,,,,,,,,,,,,,,,,,
34,AD3,IOB_X1Y61,IO_L19N_T3_VREF_34,136.804,138.178,,true,,,,,,,,,,,,,,,,,
34,AD1,IOB_X1Y60,IO_L20P_T3_34,154.549,156.103,,,,,,,,,,,,,,,,,,,
34,AE1,IOB_X1Y59,IO_L20N_T3_34,153.273,154.813,,,,,,,,,,,,,,,,,,,
34,AF5,IOB_X1Y58,IO_L21P_T3_DQS_34,139.606,141.010,,,,,,,,,,,,,,,,,,,
34,AF4,IOB_X1Y57,IO_L21N_T3_DQS_34,137.170,138.548,,,,,,,,,,,,,,,,,,,
34,AE3,IOB_X1Y56,IO_L22P_T3_34,143.239,144.679,,,,,,,,,,,,,,,,,,,
34,AE2,IOB_X1Y55,IO_L22N_T3_34,149.597,151.101,,,,,,,,,,,,,,,,,,,
34,AE6,IOB_X1Y54,IO_L23P_T3_34,131.266,132.586,,,,,,,,,,,,,,,,,,,
34,AE5,IOB_X1Y53,IO_L23N_T3_34,125.502,126.764,,,,,,,,,,,,,,,,,,,
34,AF3,IOB_X1Y52,IO_L24P_T3_34,152.901,154.437,,,,,,,,,,,,,,,,,,,
34,AF2,IOB_X1Y51,IO_L24N_T3_34,152.714,154.248,,,,,,,,,,,,,,,,,,,
34,T7,IOB_X1Y50,IO_25_VRP_34,72.013,72.736,,,,,,,,,,,,,,,,,,,
34,AA1,,VCCO_34,,,,,,,,,,,,,,,,,,,,VCCO_34,0.00-1.80
34,AC5,,VCCO_34,,,,,,,,,,,,,,,,,,,,VCCO_34,0.00-1.80
34,AD2,,VCCO_34,,,,,,,,,,,,,,,,,,,,VCCO_34,0.00-1.80
34,AF6,,VCCO_34,,,,,,,,,,,,,,,,,,,,VCCO_34,0.00-1.80
34,U3,,VCCO_34,,,,,,,,,,,,,,,,,,,,VCCO_34,0.00-1.80
34,Y4,,VCCO_34,,,,,,,,,,,,,,,,,,,,VCCO_34,0.00-1.80
,H2,OPAD_X0Y7,MGTXTXP3_115,104.663,105.715,,,,,,,,,,,,,,,,,,,
,J4,IPAD_X0Y25,MGTXRXP3_115,93.139,94.075,,,,,,,,,,,,,,,,,,,
,H1,OPAD_X0Y6,MGTXTXN3_115,103.708,104.750,,,,,,,,,,,,,,,,,,,
,J3,IPAD_X0Y24,MGTXRXN3_115,91.669,92.590,,,,,,,,,,,,,,,,,,,
,K2,OPAD_X0Y5,MGTXTXP2_115,99.751,100.753,,,,,,,,,,,,,,,,,,,
,L4,IPAD_X0Y19,MGTXRXP2_115,87.614,88.495,,,,,,,,,,,,,,,,,,,
,K1,OPAD_X0Y4,MGTXTXN2_115,99.421,100.420,,,,,,,,,,,,,,,,,,,
,H6,IPAD_X0Y8,MGTREFCLK0P_115,89.217,90.114,,,,,,,,,,,,,,,,,,,
,L3,IPAD_X0Y18,MGTXRXN2_115,86.668,87.539,,,,,,,,,,,,,,,,,,,
,H5,IPAD_X0Y9,MGTREFCLK0N_115,88.612,89.502,,,,,,,,,,,,,,,,,,,
,K5,IPAD_X0Y11,MGTREFCLK1N_115,89.022,89.917,,,,,,,,,,,,,,,,,,,
,K6,IPAD_X0Y10,MGTREFCLK1P_115,87.928,88.812,,,,,,,,,,,,,,,,,,,
,M2,OPAD_X0Y3,MGTXTXP1_115,97.160,98.136,,,,,,,,,,,,,,,,,,,
,N4,IPAD_X0Y7,MGTXRXP1_115,90.451,91.360,,,,,,,,,,,,,,,,,,,
,M1,OPAD_X0Y2,MGTXTXN1_115,96.347,97.315,,,,,,,,,,,,,,,,,,,
,N3,IPAD_X0Y6,MGTXRXN1_115,89.498,90.397,,,,,,,,,,,,,,,,,,,
,P2,OPAD_X0Y1,MGTXTXP0_115,100.492,101.502,,,,,,,,,,,,,,,,,,,
,R4,IPAD_X0Y1,MGTXRXP0_115,94.392,95.341,,,,,,,,,,,,,,,,,,,
,P1,OPAD_X0Y0,MGTXTXN0_115,100.165,101.171,,,,,,,,,,,,,,,,,,,
,R3,IPAD_X0Y0,MGTXRXN0_115,93.433,94.372,,,,,,,,,,,,,,,,,,,
,M5,,MGTAVTTRCAL_115,,,,,,,,,,,,,,,,,,,,,
,M6,,MGTRREF_115,84.378,85.226,,,,,,,,,,,,,,,,,,,
,A4,OPAD_X0Y15,MGTXTXP3_116,109.385,110.485,,,,,,,,,,,,,,,,,,,
,B6,IPAD_X0Y55,MGTXRXP3_116,107.100,108.176,,,,,,,,,,,,,,,,,,,
,A3,OPAD_X0Y14,MGTXTXN3_116,108.249,109.337,,,,,,,,,,,,,,,,,,,
,B5,IPAD_X0Y54,MGTXRXN3_116,105.538,106.598,,,,,,,,,,,,,,,,,,,
,B2,OPAD_X0Y13,MGTXTXP2_116,118.415,119.605,,,,,,,,,,,,,,,,,,,
,C4,IPAD_X0Y49,MGTXRXP2_116,109.846,110.950,,,,,,,,,,,,,,,,,,,
,B1,OPAD_X0Y12,MGTXTXN2_116,116.628,117.800,,,,,,,,,,,,,,,,,,,
,D6,IPAD_X0Y38,MGTREFCLK0P_116,107.868,108.952,,,,,,,,,,,,,,,,,,,
,C3,IPAD_X0Y48,MGTXRXN2_116,108.911,110.005,,,,,,,,,,,,,,,,,,,
,D5,IPAD_X0Y39,MGTREFCLK0N_116,108.790,109.884,,,,,,,,,,,,,,,,,,,
,F5,IPAD_X0Y41,MGTREFCLK1N_116,104.110,105.156,,,,,,,,,,,,,,,,,,,
,F6,IPAD_X0Y40,MGTREFCLK1P_116,104.781,105.835,,,,,,,,,,,,,,,,,,,
,D2,OPAD_X0Y11,MGTXTXP1_116,113.152,114.290,,,,,,,,,,,,,,,,,,,
,E4,IPAD_X0Y37,MGTXRXP1_116,102.500,103.530,,,,,,,,,,,,,,,,,,,
,D1,OPAD_X0Y10,MGTXTXN1_116,112.757,113.891,,,,,,,,,,,,,,,,,,,
,E3,IPAD_X0Y36,MGTXRXN1_116,101.042,102.058,,,,,,,,,,,,,,,,,,,
,F2,OPAD_X0Y9,MGTXTXP0_116,111.469,112.589,,,,,,,,,,,,,,,,,,,
,G4,IPAD_X0Y31,MGTXRXP0_116,97.557,98.537,,,,,,,,,,,,,,,,,,,
,F1,OPAD_X0Y8,MGTXTXN0_116,110.676,111.788,,,,,,,,,,,,,,,,,,,
,G3,IPAD_X0Y30,MGTXRXN0_116,96.773,97.745,,,,,,,,,,,,,,,,,,,
,N13,,VCCBRAM,,,,,,,,,,,,,,,,,,,,,
,R13,,VCCBRAM,,,,,,,,,,,,,,,,,,,,,
,T12,,VCCBRAM,,,,,,,,,,,,,,,,,,,,,
,U13,,VCCBRAM,,,,,,,,,,,,,,,,,,,,,
,C6,,MGTAVCC,,,,,,,,,,,,,,,,,,,,,
,E6,,MGTAVCC,,,,,,,,,,,,,,,,,,,,,
,G6,,MGTAVCC,,,,,,,,,,,,,,,,,,,,,
,J6,,MGTAVCC,,,,,,,,,,,,,,,,,,,,,
,L6,,MGTAVCC,,,,,,,,,,,,,,,,,,,,,
,B3,,MGTAVTT,,,,,,,,,,,,,,,,,,,,,
,C2,,MGTAVTT,,,,,,,,,,,,,,,,,,,,,
,D3,,MGTAVTT,,,,,,,,,,,,,,,,,,,,,
,G2,,MGTAVTT,,,,,,,,,,,,,,,,,,,,,
,H3,,MGTAVTT,,,,,,,,,,,,,,,,,,,,,
,L2,,MGTAVTT,,,,,,,,,,,,,,,,,,,,,
,M3,,MGTAVTT,,,,,,,,,,,,,,,,,,,,,
,N6,,MGTVCCAUX,,,,,,,,,,,,,,,,,,,,,
,A1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,A2,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,A5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,A6,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,A7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,A16,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,A26,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AA6,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AA16,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AA26,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AB3,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AB13,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AB23,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AC10,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AC20,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AD7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AD17,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AE4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AE14,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AE24,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AF1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AF11,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,AF21,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,B4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,B7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,B13,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,B23,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,C1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,C5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,C7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,C10,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,C20,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,D4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,D7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,D17,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,E1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,E2,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,E5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,E7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,E14,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,E24,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,F3,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,F4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,F7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,F11,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,F21,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,G1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,G5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,G8,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,G18,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,H4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,H7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,H15,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,H25,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,J1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,J2,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,J5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,J12,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,J22,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,K3,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,K4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,K7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,K9,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,K11,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,K13,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,K19,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,L1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,L5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,L10,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,L12,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,L14,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,L16,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,L26,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,M4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,M7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,M9,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,M13,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,M15,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,M23,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,N1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,N2,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,N5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,N7,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,N10,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,N14,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,N20,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,P3,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,P4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,P9,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,P13,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,P15,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,P17,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,R1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,R2,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,R5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,R8,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,R10,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,R14,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,R24,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,T1,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,T3,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,T4,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,T9,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,T11,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,T13,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,T15,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,T21,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,U8,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,U10,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,U12,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,U14,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,U18,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,V5,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,V15,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,V25,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,W2,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,W12,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
,W22,,GND,,,,,,,,,,,,,,,,,,,,GND,GND
